canonical_id,alias,norm_alias,match_method,confidence
entity:artifacttype:dress-panels-textiles,Dress panels; Textiles,dress panels textiles,norm_label,1.0
entity:artifacttype:dresses-garments-jackets,Dresses (garments); jackets,dresses garments jackets,norm_label,1.0
entity:artifacttype:edge-panel-textiles,Edge panel; Textiles,edge panel textiles,norm_label,1.0
entity:artifacttype:embroidery-visual-works,Embroidery (visual works),embroidery visual works,norm_label,1.0
entity:artifacttype:embroidery-visual-works-borders-ornament-areas,Embroidery (visual works); Borders (ornament areas),embroidery visual works borders ornament areas,norm_label,1.0
entity:artifacttype:embroidery-visual-works-panel-fragment,Embroidery (visual works); Panel fragment,embroidery visual works panel fragment,norm_label,1.0
entity:artifacttype:embroidery-visual-works-sleeve-band,Embroidery (visual works); Sleeve band,embroidery visual works sleeve band,norm_label,1.0
entity:artifacttype:embroidery-visual-works-sleeve-bands,Embroidery (visual works); Sleeve bands,embroidery visual works sleeve bands,norm_label,1.0
entity:artifacttype:embroidery-visual-works-textiles,Embroidery (visual works); Textiles,embroidery visual works textiles,norm_label,1.0
entity:artifacttype:enamels-visual-works-decorative-arts-plate,Enamels (visual works); Decorative arts; Plate,enamels visual works decorative arts plate,norm_label,1.0
entity:artifacttype:enamels-visual-works-decorative-arts-vases,Enamels (visual works); Decorative arts; Vases,enamels visual works decorative arts vases,norm_label,1.0
entity:artifacttype:envelopes-theater-programs,Envelopes; Theater programs,envelopes theater programs,norm_label,1.0
entity:artifacttype:eyeglass-cases-embroidery-visual-works,Eyeglass cases; Embroidery (visual works),eyeglass cases embroidery visual works,norm_label,1.0
entity:artifacttype:felt-textile-ceremonial-objects-rugs-mosen-textiles,Felt (textile); Ceremonial objects; Rugs; Mosen; Textiles,felt textile ceremonial objects rugs mosen textiles,norm_label,1.0
entity:artifacttype:figures-representations-drawings,Figures (representations); Drawings,figures representations drawings,norm_label,1.0
entity:artifacttype:figures-representations-prints,Figures (representations); Prints,figures representations prints,norm_label,1.0
entity:artifacttype:fill-papers-wall-coverings,Fill papers; Wall coverings,fill papers wall coverings,norm_label,1.0
entity:artifacttype:fragment-of-a-rank-badge-textiles,Fragment of a rank badge; Textiles,fragment of a rank badge textiles,norm_label,1.0
entity:artifacttype:fragment-of-rank-badge-textiles,Fragment of rank badge; Textiles,fragment of rank badge textiles,norm_label,1.0
entity:artifacttype:fragments,Fragments,fragments,norm_label,1.0
entity:artifacttype:fragments-of-a-rank-badge-textiles,Fragments of a rank badge; Textiles,fragments of a rank badge textiles,norm_label,1.0
entity:artifacttype:furnishings,Furnishings,furnishings,norm_label,1.0
entity:artifacttype:furniture,Furniture,furniture,norm_label,1.0
entity:artifacttype:furniture-decorative-arts-armchairs,Furniture; Decorative arts; Armchairs,furniture decorative arts armchairs,norm_label,1.0
entity:artifacttype:furniture-drawings,Furniture; Drawings,furniture drawings,norm_label,1.0
entity:artifacttype:furniture-furnishings,Furniture; Furnishings,furniture furnishings,norm_label,1.0
entity:artifacttype:furniture-mirrors-furnishings,Furniture; Mirrors; Furnishings,furniture mirrors furnishings,norm_label,1.0
entity:artifacttype:furniture-prints,Furniture; Prints,furniture prints,norm_label,1.0
entity:artifacttype:glass,Glass,glass,norm_label,1.0
entity:artifacttype:glassware-bowls-decorative-arts,Glassware; Bowls; Decorative arts,glassware bowls decorative arts,norm_label,1.0
entity:artifacttype:glassware-bowls-vessels-decorative-arts,Glassware; Bowls (vessels); Decorative arts,glassware bowls vessels decorative arts,norm_label,1.0
entity:artifacttype:glassware-decorative-arts-snuff-bottles,Glassware; Decorative arts; Snuff bottles,glassware decorative arts snuff bottles,norm_label,1.0
entity:artifacttype:graphic-arts,Graphic arts,graphic arts,norm_label,1.0
entity:artifacttype:hangings-coverings-embroidery-visual-works,Hangings (coverings); Embroidery (visual works),hangings coverings embroidery visual works,norm_label,1.0
entity:artifacttype:hangings-coverings-textiles,Hangings (coverings); Textiles,hangings coverings textiles,norm_label,1.0
entity:artifacttype:hats,Hats,hats,norm_label,1.0
entity:artifacttype:headboard-panel-embroidery-visual-works,Headboard panel; Embroidery (visual works),headboard panel embroidery visual works,norm_label,1.0
entity:artifacttype:insignias-badges-embroidery-visual-works,Insignias; Badges; Embroidery (visual works),insignias badges embroidery visual works,norm_label,1.0
entity:artifacttype:insignias-badges-textiles,Insignias; Badges; Textiles,insignias badges textiles,norm_label,1.0
entity:artifacttype:interior-views-bound-print,Interior views; Bound print,interior views bound print,norm_label,1.0
entity:artifacttype:interior-views-drawings,Interior views; Drawings,interior views drawings,norm_label,1.0
entity:artifacttype:interior-views-table-screen-and-stand-decorative-arts,Interior views; Table screen and stand; Decorative arts,interior views table screen and stand decorative arts,norm_label,1.0
entity:artifacttype:jars,Jars,jars,norm_label,1.0
entity:artifacttype:jewelry,Jewelry,jewelry,norm_label,1.0
