canonical_id,museum_id,object_id,field_name,raw_value,source_file
entity:artifact:1:ld1-1643390182193-1643390186427-0,1,ld1-1643390182193-1643390186427-0,title,Seated Buddha (fragment),smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186428-0,1,ld1-1643390182193-1643390186428-0,title,Seated Buddha with two bodhisattvas,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186429-0,1,ld1-1643390182193-1643390186429-0,title,"Pedestal with Buddha, bodhisattvas, and monks",smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186431-0,1,ld1-1643390182193-1643390186431-0,title,Buddha (fragment),smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186434-0,1,ld1-1643390182193-1643390186434-0,title,Seated Buddha with bodhisattvas (obverse); Seated Buddha and Prabhutaratna (reverse),smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186435-0,1,ld1-1643390182193-1643390186435-0,title,Standing bodhisattva,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186436-0,1,ld1-1643390182193-1643390186436-0,title,"Pedestal with lotus petals, lions, and donor, originally supporting a Shijia Buddha (<em>Shakyamuni</em>) figure",smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186438-0,1,ld1-1643390182193-1643390186438-0,title,Small stupa,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186440-0,1,ld1-1643390182193-1643390186440-0,title,Plinth with four repeat images of Buddhist triads,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186482-0,1,ld1-1643390182193-1643390186482-0,title,The hall of scenic beauty æç¾å å,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186483-0,1,ld1-1643390182193-1643390186483-0,title,The hall of precious paintings å¯¶ç¹ªå å,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186484-0,1,ld1-1643390182193-1643390186484-0,title,Landscape with farm buildings and figures,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186488-0,1,ld1-1643390182193-1643390186488-0,title,River landscape: two water buffaloes and a napping herd-boy,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186489-0,1,ld1-1643390182193-1643390186489-0,title,Three horsemen riding under willows,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186490-0,1,ld1-1643390182193-1643390186490-0,title,Zhong Kui taming the Five Pestilences,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186493-0,1,ld1-1643390182193-1643390186493-0,title,Zhongli Quan seeking the Dao é¾é¢è¨ªéå,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186494-0,1,ld1-1643390182193-1643390186494-0,title,"Landscape: a lake, cliffs, and trees",smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186495-1,1,ld1-1643390182193-1643390186495-1,title,Quiet mountain village and trees,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186496-0,1,ld1-1643390182193-1643390186496-0,title,Landscape: a dappled horse and a horseman,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186498-0,1,ld1-1643390182193-1643390186498-0,title,Fishing by a mountain torrent,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186502-0,1,ld1-1643390182193-1643390186502-0,title,Bird on a leafless branch,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186507-0,1,ld1-1643390182193-1643390186507-0,title,Seated Luohan,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186509-0,1,ld1-1643390182193-1643390186509-0,title,Luohan and attendant,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390186510-0,1,ld1-1643390182193-1643390186510-0,title,The thatched hut at Liangchang,smithsonian_institution.csv
