artifact_id,museum_id,object_id,title
entity:artifact:1:ld1-1643390182193-1643390186529-0,1,ld1-1643390182193-1643390186529-0,"Snow clearing on mountains and rivers, after Wang Wei"
entity:artifact:1:ld1-1643390182193-1643390186534-0,1,ld1-1643390182193-1643390186534-0,Landscape: mountains in mist
entity:artifact:1:ld1-1643390182193-1643390186536-0,1,ld1-1643390182193-1643390186536-0,A hundred birds worship the phoenixes
entity:artifact:1:ld1-1643390182193-1643390186539-0,1,ld1-1643390182193-1643390186539-0,Scenes from the lives of famous men
entity:artifact:1:ld1-1643390182193-1643390186541-0,1,ld1-1643390182193-1643390186541-0,Imperial palaces
entity:artifact:1:ld1-1643390182193-1643390186542-0,1,ld1-1643390182193-1643390186542-0,Travelers on the road to Shu
entity:artifact:1:ld1-1643390182193-1643390186544-0,1,ld1-1643390182193-1643390186544-0,Houses at the waterside
entity:artifact:1:ld1-1643390182193-1643390186545-1,1,ld1-1643390182193-1643390186545-1,Landscape with travelers
entity:artifact:1:ld1-1643390182193-1643390186547-0,1,ld1-1643390182193-1643390186547-0,"Flowers, birds, and insects"
entity:artifact:1:ld1-1643390182193-1643390186548-0,1,ld1-1643390182193-1643390186548-0,A hunting scene
entity:artifact:1:ld1-1643390182193-1643390186550-0,1,ld1-1643390182193-1643390186550-0,Luohans crossing land and sea
entity:artifact:1:ld1-1643390182193-1643390186551-0,1,ld1-1643390182193-1643390186551-0,Conversing beside the Hao River
entity:artifact:1:ld1-1643390182193-1643390186552-0,1,ld1-1643390182193-1643390186552-0,Broad bean flowers and butterflies
entity:artifact:1:ld1-1643390182193-1643390186553-0,1,ld1-1643390182193-1643390186553-0,"Flowers, plants, and insects"
entity:artifact:1:ld1-1643390182193-1643390186554-0,1,ld1-1643390182193-1643390186554-0,Treaty at the Bian Bridge ãæ±´æ©æçåã
entity:artifact:1:ld1-1643390182193-1643390186555-0,1,ld1-1643390182193-1643390186555-0,Life on the river
entity:artifact:1:ld1-1643390182193-1643390186556-0,1,ld1-1643390182193-1643390186556-0,"Ocean sky, rising sun"
entity:artifact:1:ld1-1643390182193-1643390186558-1,1,ld1-1643390182193-1643390186558-1,Spray of roses
entity:artifact:1:ld1-1643390182193-1643390186560-0,1,ld1-1643390182193-1643390186560-0,A branch of loquats and a bird
entity:artifact:1:ld1-1643390182193-1643390186561-0,1,ld1-1643390182193-1643390186561-0,Basket of flowers
entity:artifact:1:ld1-1643390182193-1643390186562-0,1,ld1-1643390182193-1643390186562-0,"Landscape: a mountain brook, a pine, bamboo and blue-jays"
entity:artifact:1:ld1-1643390182193-1643390186563-0,1,ld1-1643390182193-1643390186563-0,Landscape: two men on a river-bank under a pine-tree
entity:artifact:1:ld1-1643390182193-1643390186564-1,1,ld1-1643390182193-1643390186564-1,"Landscape: hills, valley, and stream"
entity:artifact:1:ld1-1643390182193-1643390186566-0,1,ld1-1643390182193-1643390186566-0,The Goddess Chang'e in the Lunar Palace
entity:artifact:1:ld1-1643390182193-1643390186566-1,1,ld1-1643390182193-1643390186566-1,An eagle on a branch
