type_id,type_name
entity:artifacttype:theater-programs-tickets,Theater programs; Tickets
entity:artifacttype:tools-and-equipment,Tools and equipment
entity:artifacttype:trim-textiles,Trim; Textiles
entity:artifacttype:unclassified,Unclassified
entity:artifacttype:uncut-waistcoat-front-embroidery-visual-works,Uncut waistcoat front; Embroidery (visual works)
entity:artifacttype:valances-embroidery-visual-works,Valances; Embroidery (visual works)
entity:artifacttype:valances-textiles,Valances; Textiles
entity:artifacttype:vessels,Vessels
entity:artifacttype:vessels-containers,Vessels (containers)
entity:artifacttype:vests-garments-vest-girls-main-garments-girl,"Vests (garments); vest, girl's; Main garments; Girl"
entity:artifacttype:wall-coverings,Wall coverings
entity:artifacttype:weapons-and-ammunition,Weapons and Ammunition
entity:artifacttype:weapons-armor-protective-wear,Weapons; Armor (protective wear)
entity:artifacttype:window-shade-and-cornice-wall-coverings,Window shade and cornice; Wall coverings
entity:artifacttype:womans-short-coat-costume-accessories-costume,Woman's short coat; Costume accessories; Costume
