museum_id,object_id,artifact_id
1,ld1-1643390182193-1643390189957-0,entity:artifact:1:ld1-1643390182193-1643390189957-0
1,ld1-1643390182193-1643390188722-0,entity:artifact:1:ld1-1643390182193-1643390188722-0
1,ld1-1643390182193-1643390190060-0,entity:artifact:1:ld1-1643390182193-1643390190060-0
1,ld1-1643390182193-1643390189555-1,entity:artifact:1:ld1-1643390182193-1643390189555-1
1,ld1-1643390182193-1643390189557-0,entity:artifact:1:ld1-1643390182193-1643390189557-0
1,ld1-1643390182193-1643390191396-0,entity:artifact:1:ld1-1643390182193-1643390191396-0
1,ld1-1643390182193-1643390188043-1,entity:artifact:1:ld1-1643390182193-1643390188043-1
1,ld1-1643390182193-1643390189610-0,entity:artifact:1:ld1-1643390182193-1643390189610-0
1,ld1-1643390182193-1643390191297-0,entity:artifact:1:ld1-1643390182193-1643390191297-0
1,ld1-1643390182193-1643390186528-0,entity:artifact:1:ld1-1643390182193-1643390186528-0
1,ld1-1643390182193-1643390188920-0,entity:artifact:1:ld1-1643390182193-1643390188920-0
1,ld1-1643390182193-1643390199654-1,entity:artifact:1:ld1-1643390182193-1643390199654-1
1,ld1-1643390182193-1643390187805-1,entity:artifact:1:ld1-1643390182193-1643390187805-1
1,ld1-1643390182193-1643390192021-0,entity:artifact:1:ld1-1643390182193-1643390192021-0
1,ld1-1643390182193-1643390188053-0,entity:artifact:1:ld1-1643390182193-1643390188053-0
1,ld1-1643390182193-1643390189477-0,entity:artifact:1:ld1-1643390182193-1643390189477-0
1,ld1-1643390182193-1643390189030-1,entity:artifact:1:ld1-1643390182193-1643390189030-1
1,ld1-1643390182193-1643390190548-0,entity:artifact:1:ld1-1643390182193-1643390190548-0
1,ld1-1643390182193-1643390191105-0,entity:artifact:1:ld1-1643390182193-1643390191105-0
1,ld1-1643390182193-1643390191149-1,entity:artifact:1:ld1-1643390182193-1643390191149-1
1,ld1-1643390182193-1643390186658-0,entity:artifact:1:ld1-1643390182193-1643390186658-0
